D TimeAvg TimeStd
2 3.423984e-06 3.269379e-06
4 1.517590e-05 1.364686e-05
6 5.486372e-05 3.670846e-05
8 2.681349e-04 2.775154e-05
10 1.602993e-03 6.813931e-05
12 8.519488e-03 2.321258e-04
14 5.229141e-02 1.220074e-03
16 2.899789e-01 5.018835e-03
18 1.615340e+00 1.768427e-02
20 8.706296e+00 9.562034e-02 
22 6.706026e+01 7.525351e-01
24 2.754668e+02 7.022519e+00
26 1.436354e+03 3.275304e+01
28 9.388537e+03 1.357115e+02
