D KLDivAvg KLDivStd
2 1.1167980779047682e-08 1.3986737570267147e-08
4 5.051551952604816e-06 6.482726717946591e-06
6 0.0002697392784159227 0.00030806238041898424
8 0.001090835610702437 0.0003207866194468137
10 0.001485850672481979 0.0002672651347106516
12 0.0018295689675135126 0.00041510352370125006
14 0.0017538083908766127 0.00037071095922923983
16 0.003495136458907236 0.002069578509603524
18 0.005198549563387759 0.00104675649852795
20 0.004597881664023219 0.0010708747602415805
22 0.0051732150751003765 0.0013747361227625752
