D TimeAvg TimeStd
2 1.256080e-04 2.458279e-04
4 5.622580e-04 4.170784e-04
6 3.794863e-03 1.067128e-03
8 2.913533e-02 1.348576e-03
10 3.204805e-01 2.188229e-02
12 5.358489e+00 7.342387e-02
14 1.114200e+01 9.162131e-02
16 1.499400e+01 1.150747e-01
18 1.892085e+01 1.069141e-01
20 3.130706e+01 8.728595e-01
22 4.452108e+01 1.255413e+00
24 5.579279e+01 1.343599e+00
26 7.963915e+01 5.895388e+00
28 2.174356e+01 4.841401e-02
32 3.325025e+01 1.370546e-01
36 4.826591e+01 2.589497e-01
40 6.712504e+01 3.125453e-01
44 9.233674e+01 3.885733e-01
48 1.332848e+02 1.346343e+00
52 1.929477e+02 1.476257e+00
56 2.512945e+02 2.190631e+00
60 3.411838e+02 2.239220e+00
64 4.708584e+02 2.335707e+00
68 6.512714e+02 2.254249e+00
72 8.745595e+02 1.984619e+00
76 1.154045e+03 3.571016e+00
80 1.492088e+03 4.398101e+00

