D TimeAvg TimeStd
2 1.729708e-04 4.154003e-04
4 5.639807e-04 4.495771e-04
6 3.865866e-03 1.307068e-03
8 2.874047e-02 1.655492e-03
10 1.882407e-01 5.761814e-03
12 4.609686e-01 3.748316e-03
14 8.735731e-01 1.793113e-02
16 1.345805e+00 1.378773e-02
18 2.131796e+00 1.543392e-02
20 3.231165e+00 3.231461e-02
22 3.946268e+00 3.107649e-01
24 2.024183e+01 1.237365e+01
26 1.608553e+01 8.545016e+00
28 2.972363e+01 1.614631e+01
32 1.273821e+01 1.022971e-01
36 2.110354e+01 1.806870e-01
40 3.333543e+01 2.913511e-01
44 5.282184e+01 5.824273e-01
48 8.219770e+01 9.203249e-01
52 1.302329e+02 7.940999e-01
56 2.041336e+02 7.747489e-01
60 2.990180e+02 1.559545e+00
64 4.172801e+02 8.457639e-01
68 5.826867e+02 1.026186e+00
72 8.040323e+02 9.692330e-01
76 1.057663e+03 1.000969e+00
80 1.384204e+03 1.834792e+00

