D KLDivAvg KLDivStd
2 1.1167980779047682e-08 1.3986737570267147e-08
4 5.051551952604816e-06 6.482726717946591e-06
6 0.0002697392784159227 0.00030806238041898424
8 0.001081606811539511 0.0003208709634965837
10 0.0014746735753612915 0.00027145786385872003
12 0.0016143398053717172 0.00043036918113473275
14 0.002396506065510625 0.001440073915221868
16 0.006139232427102871 0.0009923187641334866
18 0.005956637624651194 0.0008544314146561367
20 0.006573512789655124 0.001282337165713007
22 0.00968035566579109 0.003837504956262273
